text_id,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
2_5_3,Ele,106.84768518518518,120.0,182.01182965299685,60,4320
2_5_4,Adv,115.9026402640264,133.0,185.4687087404278,60,6060
2_5_4,Ele,130.78455284552845,148.0,197.01775872627067,60,4920
2_5_5,Adv,123.2640589569161,139.0,195.32680560546174,60,8820
2_5_5,Ele,103.74658119658119,113.0,184.8948971820259,60,4680
2_6_1,Adv,105.6369623655914,112.0,185.93304944405014,60,7440
2_6_1,Ele,121.8572033898305,137.0,196.3023890784983,60,7080
2_6_2,Adv,123.94218209757972,139.0,194.4088580897861,60,5206
2_6_2,Ele,102.58740740740741,106.0,184.53431045969353,60,5400
2_6_3,Adv,117.82679324894515,132.0,188.8735204599256,60,4740
2_6_3,Ele,124.38737373737374,139.0,195.15610142630746,60,3960
2_6_4,Adv,125.84237089201878,138.0,196.83807600514044,60,8520
2_6_4,Ele,104.11333333333333,116.0,176.99266666666668,60,5100
2_7_1,Adv,122.65200803212852,136.0,193.29335443037974,60,4980
2_7_1,Ele,103.94611872146119,112.0,182.47855711422847,60,4380
2_7_2,Adv,112.73769063180828,124.0,195.97273243703845,60,9180
2_7_2,Ele,99.07388316151203,99.0,179.85339987523395,60,5820
2_7_3,Adv,104.10240549828178,117.0,180.10582639714625,60,5820
2_7_3,Ele,115.38486842105263,130.0,191.88730853391684,60,4560
2_7_4,Adv,95.15696721311475,82.0,179.89385330578511,60,7320
2_7_4,Ele,109.41132075471698,118.0,191.22176422093983,60,6360
2_7_5,Adv,123.73127705627705,136.0,197.218733827842,60,9240
2_7_5,Ele,106.86882951653944,116.0,184.81606160616062,60,7860
2_7_6,Adv,93.37477477477478,73.0,179.20207477847418,60,8880
2_7_6,Ele,103.12401433691757,104.5,187.62047603521356,60,5580
2_8_1,Adv,108.48219696969697,121.0,184.4721417069243,60,5280
2_8_1,Ele,121.90613026819923,139.0,193.12594840667677,60,5220
2_8_2,Adv,102.66221264367816,108.0,182.79073931951905,60,6960
2_8_2,Ele,110.60662289466171,123.0,188.54257907542578,60,7006
2_8_3,Adv,115.40669934640523,128.0,192.501771599891,60,6120
2_8_3,Ele,98.53566666666667,95.0,180.4131827891364,60,6000
2_8_4,Adv,125.5808908045977,142.0,193.50077485056454,60,6960
2_8_4,Ele,112.4275720164609,127.0,184.4070199122511,60,4860
2_8_5,Adv,108.02648401826484,116.5,182.3688571979187,60,8760
2_8_5,Ele,127.10050505050505,143.0,194.43136749935616,60,5940
2_8_6,Adv,101.74862542955326,103.0,182.99660074165638,60,5820
2_8_6,Ele,115.44761904761904,133.0,187.86516853932585,60,4200
2_9_1,Adv,133.86501650165016,148.0,198.00390529655846,60,6060
2_9_1,Ele,116.06923076923077,132.0,183.63894523326573,60,6240
2_9_2,Adv,125.60700757575758,140.0,196.44697867298578,60,5280
2_9_2,Ele,115.20088888888888,133.0,185.27662616154396,60,4500
2_9_3,Adv,120.37547619047619,132.0,203.00220839188918,60,8400
2_9_3,Ele,105.97708333333334,117.0,182.77971254836928,60,6240
2_9_4,Adv,104.34736842105264,106.0,187.25855962219597,60,9120
2_9_4,Ele,111.14883720930233,120.0,195.03332577646793,60,7740
2_9_5,Adv,133.41778606965175,148.0,200.5007476635514,60,8040
2_9_5,Ele,111.63898305084746,125.0,186.9009222038307,60,7080
2_9_6,Adv,111.99826666666667,125.0,188.25347377857463,60,7500
2_9_6,Ele,132.61580459770116,145.0,198.58132530120483,60,3480
3_10_1,Adv,115.8237089201878,131.0,185.63167795334837,60,4260
3_10_1,Ele,117.59530516431924,133.0,188.04654654654655,60,4260
3_10_2,Adv,113.92537037037037,128.0,188.19118996635058,60,5400
3_10_2,Ele,113.55125,129.0,183.70273003033367,60,4800
3_10_3,Adv,112.58533333333334,124.0,188.47991071428572,60,6000
3_10_3,Ele,107.78252032520325,120.0,183.04798066965827,60,4920
3_10_4,Adv,116.38445273631841,132.0,190.49898208469057,60,8040
3_10_4,Ele,105.46192214111922,111.0,184.13275276125742,60,8220
3_10_5,Adv,97.32313596491228,90.0,180.91867101508356,60,9120
3_10_5,Ele,102.23992537313433,106.0,185.38768606224627,60,8040
3_10_6,Adv,100.00176470588235,95.5,185.2557210316019,60,5100
3_10_6,Ele,100.58353174603175,100.5,183.67427536231884,60,5040
