text_id,align_idx,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
1_4_2,120,Ele,113.44238095238096,125.5,193.36769480519482,60,2100
1_4_2,121,Adv,134.28333333333333,145.5,208.0120481927711,60,900
1_4_2,121,Ele,125.92111111111112,145.5,196.75173611111111,60,900
1_4_2,122,Adv,114.66313131313132,124.0,194.37756849315068,60,1980
1_4_2,122,Ele,112.33118279569892,120.5,189.2536231884058,60,1860
1_4_2,123,Adv,98.62962962962963,89.0,188.86524822695034,60,1080
1_4_2,123,Ele,115.25714285714285,129.5,197.58367346938775,60,420
1_4_2,124,Adv,105.46363636363637,110.0,185.12234042553192,60,660
1_4_2,124,Ele,118.11212121212121,135.5,187.38942307692307,60,660
1_4_2,125,Adv,125.13589743589743,140.0,194.82235528942115,60,780
1_4_2,125,Ele,117.85384615384615,141.0,190.32298136645963,60,780
1_4_2,126,Adv,101.50701754385965,85.0,192.54242928452578,60,1140
1_4_2,126,Ele,107.13518518518518,114.0,192.84333333333333,60,1080
1_4_2,127,Adv,97.21,0.0,196.3838383838384,60,600
1_4_2,127,Ele,89.85,57.0,175.9673590504451,60,660
1_4_3,128,Adv,127.90877192982457,143.0,192.62351387054161,60,1140
1_4_3,128,Ele,133.20526315789473,151.0,194.18670076726343,60,1140
1_4_3,129,Adv,134.62954545454545,144.0,197.45666666666668,60,1320
1_4_3,129,Ele,117.495,129.0,194.74309392265192,60,1200
1_4_3,130,Adv,121.60111111111111,133.5,195.77996422182468,60,900
1_4_3,130,Ele,116.01969696969697,139.0,190.48009950248758,60,660
1_4_3,131,Adv,123.26825396825397,132.0,199.38125802310654,60,1260
1_4_3,131,Ele,110.35462962962963,119.0,188.2827804107425,60,1080
1_4_3,132,Adv,124.69712643678162,137.0,199.79097605893185,60,1740
1_4_3,132,Ele,105.71071428571429,95.0,200.89819004524887,60,840
1_4_4,133,Adv,128.2409722222222,142.0,196.66347177848775,60,1440
1_4_4,133,Ele,126.72777777777777,141.0,196.88902589395806,60,1260
1_4_4,134,Adv,115.93333333333334,128.5,191.65640194489464,60,1020
1_4_4,134,Ele,120.06666666666666,132.5,200.11111111111111,60,1020
1_4_4,135,Adv,149.13076923076923,155.0,199.8659793814433,60,780
1_4_4,135,Ele,139.95833333333334,155.0,202.75653923541248,60,720
1_4_4,136,Adv,130.38690476190476,147.0,200.5952380952381,60,840
1_4_4,136,Ele,111.25,121.0,193.22368421052633,60,660
1_4_4,137,Adv,122.23472222222222,134.0,200.02045454545456,60,720
1_4_4,137,Ele,104.92037037037036,96.0,188.22923588039868,60,540
1_4_4,138,Adv,124.55196078431372,139.0,193.5156130997715,60,2040
1_4_4,138,Ele,122.22929292929292,134.0,201.00830564784053,60,1980
1_4_4,139,Adv,122.42142857142858,136.5,197.0,60,840
1_4_4,139,Ele,111.92142857142858,112.0,195.8625,60,420
1_4_4,140,Adv,128.74545454545455,141.5,196.24018475750577,60,660
1_4_4,140,Ele,105.40128205128205,102.5,192.08644859813083,60,780
1_4_4,141,Adv,103.5525,87.5,194.46478873239437,60,1200
1_4_5,142,Adv,134.23529411764707,151.0,195.320970042796,60,1020
1_4_5,142,Ele,126.03888888888889,143.0,192.53465346534654,60,1080
1_4_5,143,Adv,108.79266666666666,120.0,191.98705882352942,60,1500
1_4_5,143,Ele,116.97536231884058,127.5,193.55635491606714,60,1380
1_4_5,144,Adv,118.98461538461538,140.5,197.25398512221042,60,1560
1_4_5,144,Ele,117.57222222222222,137.0,187.4905869324474,60,1440
1_4_5,145,Adv,124.86833333333334,134.0,194.6,60,1200
1_4_5,145,Ele,116.02380952380952,126.5,189.36528497409327,60,1260
1_5_1,146,Adv,124.33095238095238,141.0,198.3627730294397,60,1680
1_5_1,146,Ele,111.09597701149426,128.5,190.45024630541872,60,1740
1_5_1,147,Adv,109.4840579710145,109.0,195.7098445595855,60,1380
1_5_1,147,Ele,108.08333333333333,117.0,190.22666666666666,60,1320
1_5_1,148,Adv,97.8952380952381,83.0,185.76506024096386,60,1260
1_5_1,148,Ele,91.58333333333333,0.0,185.22471910112358,60,1080
1_5_2,149,Adv,128.27280701754387,147.0,196.81157469717363,60,1140
1_5_2,149,Ele,121.91388888888889,143.0,193.91310751104567,60,1080
1_5_2,150,Adv,107.81444444444445,119.5,184.12333965844402,60,900
1_5_2,150,Ele,121.13888888888889,142.5,202.36658932714616,60,720
1_5_2,151,Adv,104.91145833333333,100.0,192.20419847328245,60,960
1_5_2,151,Ele,99.0,98.0,182.93478260869566,60,1020
1_5_2,152,Adv,126.31111111111112,143.5,193.91044776119404,60,1440
1_5_2,152,Ele,119.7231884057971,128.0,194.37411764705882,60,1380
1_5_2,153,Adv,110.99583333333334,121.0,195.875,60,3120
1_5_2,153,Ele,114.8886524822695,126.0,196.3551515151515,60,2820
1_5_2,154,Adv,100.8875,81.0,193.04214123006832,60,1680
1_5_2,154,Ele,93.39411764705882,0.0,192.06048387096774,60,1020
1_5_3,155,Adv,143.52747747747748,155.0,203.8586052463212,60,2220
1_5_3,155,Ele,124.77608695652174,141.0,195.2278911564626,60,1380
1_5_3,156,Adv,143.53020833333332,161.5,194.34273624823695,60,960
1_5_3,156,Ele,116.18235294117648,125.0,195.55445544554456,60,1020
1_5_3,157,Adv,133.88602150537633,149.0,202.626525630594,60,1860
1_5_3,157,Ele,122.82447916666666,139.0,189.5683279742765,60,1920
1_5_3,158,Adv,117.45591397849462,129.0,196.99549143372408,60,1860
1_5_3,158,Ele,116.15555555555555,132.0,192.1691176470588,60,900
1_5_4,159,Adv,166.59583333333333,180.5,202.95939086294416,60,240
1_5_4,159,Ele,156.20833333333334,168.5,202.64864864864865,60,240
1_5_4,160,Adv,133.0280701754386,149.0,194.9254498714653,60,1140
1_5_4,160,Ele,122.08717948717948,133.5,197.56846473029046,60,780
1_5_4,161,Adv,109.765625,121.0,191.2431941923775,60,960
1_5_4,162,Adv,147.77777777777777,158.5,203.05343511450383,60,360
1_5_4,163,Adv,130.31496598639455,142.0,198.7168049792531,60,2940
1_5_4,163,Ele,124.48095238095237,137.0,200.6216423637759,60,2100
1_5_4,164,Adv,141.19782608695652,157.0,199.03268641470888,60,1380
1_5_4,164,Ele,126.67878787878787,145.0,194.21138211382114,60,1320
1_5_4,165,Adv,105.27948717948718,104.0,195.36399682791435,60,2340
1_5_4,165,Ele,112.05555555555556,122.0,197.58367346938775,60,2160
1_5_5,166,Adv,131.06604938271605,152.0,197.14670380687093,60,1620
1_5_5,166,Ele,139.8563492063492,157.0,195.1483942414175,60,1260
1_5_5,167,Adv,128.1741379310345,141.0,199.66248880931064,60,1740
