text_id,align_idx,level,mean_FD,median_FD,mean_nonzero_FD,n_subjects,n_rows
1_1_2,37,Adv,192.05109489051094,178.0,192.05109489051094,60,685
1_1_2,37,Ele,191.36196319018404,174.0,191.36196319018404,59,163
1_1_3,38,Adv,195.94016753091344,180.0,195.94016753091344,60,2507
1_1_3,38,Ele,190.27835562159484,178.0,190.27835562159484,60,2019
1_1_3,39,Adv,198.70066889632108,177.5,198.70066889632108,60,1794
1_1_3,39,Ele,201.43961352657004,190.0,201.43961352657004,60,621
1_1_3,40,Adv,190.75837988826817,175.5,190.75837988826817,60,716
1_1_3,40,Ele,195.33141762452107,181.5,195.33141762452107,60,522
1_1_4,41,Adv,195.08521830615464,181.0,195.08521830615464,60,1901
1_1_4,41,Ele,188.65264423076923,180.0,188.65264423076923,60,1664
1_1_4,42,Adv,190.35361488904795,177.0,190.35361488904795,60,1397
1_1_4,42,Ele,185.2265100671141,174.0,185.2265100671141,60,1192
1_1_4,43,Adv,196.9653270291568,183.0,196.9653270291568,59,1269
1_1_4,43,Ele,188.21473029045643,174.0,188.21473029045643,60,964
1_1_4,44,Adv,195.39003250270855,180.0,195.39003250270855,59,923
1_1_5,45,Adv,192.92142857142858,179.0,192.92142857142858,60,840
1_1_5,45,Ele,186.67417061611374,178.0,186.67417061611374,60,844
1_1_5,46,Adv,182.76483050847457,170.5,182.76483050847457,60,944
1_1_5,46,Ele,184.25032258064516,171.0,184.25032258064516,60,775
1_1_5,47,Adv,190.4073033707865,178.0,190.4073033707865,54,356
1_1_5,48,Adv,195.8450604122246,176.0,195.8450604122246,60,1407
1_1_5,48,Ele,189.1127080181543,178.0,189.1127080181543,60,1322
1_1_6,49,Adv,193.05449101796407,181.0,193.05449101796407,60,1670
1_1_6,50,Adv,190.48560079443894,176.0,190.48560079443894,60,1007
1_1_6,51,Adv,186.6090458488228,175.0,186.6090458488228,60,1614
1_1_6,51,Ele,186.70957514267596,174.0,186.70957514267596,60,1577
1_1_6,52,Adv,191.47531992687385,178.0,191.47531992687385,60,2735
1_1_6,52,Ele,192.40693355344615,175.0,192.40693355344615,60,2423
1_1_7,53,Adv,199.0822429906542,181.0,199.0822429906542,60,535
1_1_7,53,Ele,187.48553719008265,177.0,187.48553719008265,60,484
1_1_7,54,Adv,182.24028268551237,174.0,182.24028268551237,60,566
1_1_7,55,Adv,196.9452887537994,178.0,196.9452887537994,60,658
1_1_7,55,Ele,189.0875202593193,175.0,189.0875202593193,60,617
1_1_7,56,Adv,185.40046029919446,172.0,185.40046029919446,60,869
1_1_7,56,Ele,189.30506721820063,179.0,189.30506721820063,60,967
1_1_7,57,Adv,188.72511144130758,176.0,188.72511144130758,60,1346
1_1_7,57,Ele,191.02612244897958,179.0,191.02612244897958,60,1225
1_1_7,58,Adv,191.71605896043445,174.0,191.71605896043445,60,1289
1_1_7,58,Ele,184.57795431976166,174.0,184.57795431976166,60,1007
1_1_7,59,Adv,201.72712680577848,188.0,201.72712680577848,60,1246
1_1_7,60,Adv,186.27962085308056,175.0,186.27962085308056,60,844
1_2_1,61,Adv,192.89087018544936,178.0,192.89087018544936,60,1402
1_2_1,61,Ele,188.62081513828238,178.0,188.62081513828238,60,1374
1_2_1,62,Adv,194.84322033898306,181.0,194.84322033898306,60,2360
1_2_1,62,Ele,196.54538461538462,182.5,196.54538461538462,60,1300
1_2_1,63,Adv,197.3171114599686,179.0,197.3171114599686,60,1911
1_2_1,63,Ele,198.70287836583103,180.0,198.70287836583103,59,1077
1_2_1,64,Adv,196.60955518945633,182.0,196.60955518945633,59,1821
