text_id,align_idx,diff_CAREC,diff_CAREC_M,diff_CARES,diff_CML2RI,diff_flesch_reading_ease,diff_flesch_kincaid_grade_score,diff_gunning_fog_index,diff_coleman_liau_index,diff_smog_index,diff_dale_chall_score,diff_ARI,diff_linsear_formula,diff_difficult_words_count,diff_syllable_count,diff_lexicon_count,diff_sentence_count,diff_char_count,diff_letter_count,diff_polysyllabcount,diff_monosyllabcount,diff_fernansex_huerta,diff_szigriszt_pazos,diff_gutierrez_polini,diff_crawford,diff_cpidr_density,diff_depid_density,diff_max_embedding_depth,diff_avg_embedding_depth,diff_mean_entropy,diff_mean_entropy_sents,diff_word_length,diff_wordFreq_frequency,diff_gpt2_surprisal,diff_Wordfreq_Frequency,diff_Length,diff_TF,diff_CML2RI_(-),diff_flesch_reading_ease_(-),diff_lexicon_count_(-),diff_monosyllabcount_(-),diff_fernansex_huerta_(-),diff_szigriszt_pazos_(-),diff_gutierrez_polini_(-),diff_wordFreq_frequency_(-)
1_1_1,28,0.06229999999999998,0.05829999999999999,-0.0011430490299975948,-0.7971875797794192,-4.060000000000002,1.5999999999999996,2.790000000000001,-1.0999999999999996,0.0,-1.0199999999999996,1.0,2.0,1.0,4.0,4.0,0.0,11.0,11.0,0.0,3.0,-4.079999999999998,-1.4000000000000057,0.45000000000000284,-0.10000000000000009,-0.051724137931034475,-0.0933908045977011,1.0,1.0,0.5855005970450415,0.5855005970450415,-0.14615384615384608,0.05748120010000002,0.43767195000482717,-0.14547992277713284,-0.2198365612999762,0.10926954829392344,0.7971875797794192,4.060000000000002,-4.0,-3.0,4.079999999999998,1.4000000000000057,-0.45000000000000284,-0.05748120010000002
1_1_1,29,0.08827,0.08707000000000001,0.063026610735244,0.9561997363636365,-4.060000000000002,1.5999999999999996,1.299999999999999,0.3000000000000007,0.0,-0.129999999999999,1.8999999999999986,2.0,2.0,6.0,4.0,0.0,18.0,18.0,0.0,2.0,-4.079999999999998,-6.140000000000001,-1.4399999999999977,0.30000000000000027,0.01142857142857151,-0.02857142857142847,0.0,0.0,0.9864128811828907,0.9864128811828907,0.0654761904761898,0.027373200000000014,0.34431517013481683,0.008258475608068139,0.0038095238095241513,-9.152380952380952,-0.9561997363636365,4.060000000000002,-4.0,-2.0,4.079999999999998,6.140000000000001,1.4399999999999977,-0.027373200000000014
1_1_1,30,-0.15722999999999998,-0.12723,-0.012205132932286297,-11.559491987500003,-45.01,9.0,11.14,8.830000000000002,0.0,4.1800000000000015,12.100000000000001,11.5,5.0,6.0,-3.0,-1.0,21.0,20.0,4.0,-7.0,-35.22,-36.64,-17.1,2.6999999999999997,0.05142857142857149,0.05142857142857149,1.0,2.0,1.1060064471742326,-0.05429588498079685,0.9833333333333334,-0.066693326,0.6948361104238674,1.4735194556041886,1.3874626865671642,92.28542288557213,11.559491987500003,45.01,3.0,7.0,35.22,36.64,17.1,0.066693326
1_1_1,31,-0.029120000000000035,-0.035119999999999985,0.031621952909624,-3.0744069666666647,-11.5,2.4000000000000004,0.8599999999999994,1.9700000000000006,0.0,0.21000000000000085,3.200000000000001,2.5,2.0,8.0,3.0,0.0,26.0,25.0,1.0,-1.0,-9.060000000000002,-10.030000000000001,-4.399999999999999,0.5999999999999996,0.07373271889400912,0.08479262672811061,1.0,1.0,-0.01523732239839859,-0.01523732239839859,0.36883942766295785,0.00020492999999999206,0.3630189936205146,0.628441494718988,0.3453510436432641,-41.74067046173309,3.0744069666666647,11.5,-3.0,1.0,9.060000000000002,10.030000000000001,4.399999999999999,-0.00020492999999999206
1_1_2,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5391308966685422,0.0,0.0,-104.62878787878788,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1_1_2,34,0.26378999999999997,0.25421,0.0978172283685598,-4.25616688290043,-29.260000000000005,9.200000000000001,9.95,3.9000000000000004,0.0,2.3599999999999994,13.0,14.25,3.0,9.0,3.0,-1.0,36.0,33.0,2.0,0.0,-26.909999999999997,-28.799999999999997,-12.21,1.2000000000000002,0.07264957264957261,0.019594594594594616,2.0,2.5,0.08445501960892887,-0.44272201189676785,0.3445652173913043,0.09020109999999992,-0.14751494525742714,0.09094010799904062,0.518796992481203,-58.93477443609021,4.25616688290043,29.260000000000005,-3.0,-0.0,26.909999999999997,28.799999999999997,12.21,-0.09020109999999992
1_1_2,35,0.019909999999999997,0.021909999999999985,0.01578049834694001,-0.6749611318181863,9.480000000000004,-1.5999999999999996,-0.40000000000000036,-2.2600000000000007,0.0,-0.9500000000000002,-2.5,-0.5,-1.0,-2.0,-1.0,0.0,-11.0,-10.0,0.0,0.0,7.019999999999996,4.269999999999996,4.130000000000003,-0.2999999999999998,-0.02857142857142858,-0.029166666666666674,0.0,0.0,-0.13954573282449712,-0.13954573282449712,-0.20454545454545459,0.022394999999999998,0.12120643577405366,-0.33294751407057177,-0.39047619047619,-49.97301587301587,0.6749611318181863,-9.480000000000004,1.0,-0.0,-7.019999999999996,-4.269999999999996,-4.130000000000003,-0.022394999999999998
1_1_2,36,0.13604,0.13526,0.001507740507537797,-0.2855374652777911,1.019999999999996,-0.39999999999999947,-0.16000000000000014,-0.3500000000000001,0.0,0.15000000000000036,-0.3999999999999999,-0.5,0.0,-3.0,-2.0,0.0,-8.0,-8.0,0.0,-1.0,1.019999999999996,1.9699999999999989,0.4099999999999966,-0.30000000000000004,0.003095975232198178,0.003095975232198178,-1.0,-0.5,0.0432264501435915,0.17936007188694525,-0.0538302277432714,-0.036671999999999996,0.532021076086874,-0.04477508707686617,-0.006191950464395912,-39.88415892672859,0.2855374652777911,-1.019999999999996,2.0,1.0,-1.019999999999996,-1.9699999999999989,-0.4099999999999966,0.036671999999999996
1_1_2,37,0.13496,0.12495999999999999,0.3052112359702266,-19.10269400833333,-29.099999999999994,7.0,9.51,10.709999999999999,0.0,8.87,10.4,9.5,5.0,20.0,12.0,0.0,61.0,60.0,2.0,6.0,-24.239999999999995,-23.730000000000004,-15.159999999999997,3.9000000000000004,-0.1294117647058824,-0.04705882352941182,2.0,2.0,-0.4301501076392418,-0.4301501076392418,1.1928571428571426,0.10386956400000001,1.5572909670468005,3.0508818449249553,0.8777777777777778,14.265740740740739,19.10269400833333,29.099999999999994,-12.0,-6.0,24.239999999999995,23.730000000000004,15.159999999999997,-0.10386956400000001
1_1_3,38,0.03605,0.042320000000000024,0.0757121469370575,-4.928601923395441,-38.239999999999995,10.499999999999998,11.3,4.83,0.0,2.5200000000000005,13.8,14.0,4.0,9.0,1.0,-1.0,33.0,32.0,3.0,-3.0,-33.42,-32.89,-13.969999999999999,1.4999999999999998,0.04999999999999999,0.1023809523809524,0.0,0.5,-0.3525579878305143,-0.6427584350079822,0.6367149758454103,0.018747650000000005,0.3477640604618375,0.4021192348277953,0.6566978751745074,95.85170195234622,4.928601923395441,38.239999999999995,-1.0,3.0,33.42,32.89,13.969999999999999,-0.018747650000000005
