text_id,align_idx,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
1_5_4,165,Adv,140.8074369189907,155.0,217.86575342465753,59,2259
1_5_4,165,Ele,154.3505747126437,165.0,216.44325050369375,58,2088
1_5_5,166,Adv,166.3167305236271,173.0,216.14273858921163,58,1566
1_5_5,166,Ele,171.2502017756255,178.0,218.74123711340206,59,1239
1_5_5,167,Adv,168.95600475624258,170.0,220.63975155279502,58,1682
1_5_5,167,Ele,168.97237915881985,173.0,228.30619168787106,59,1593
1_5_5,168,Adv,148.90206896551723,154.0,217.2112676056338,58,1450
1_5_5,168,Ele,156.55711127487103,165.0,222.69182389937106,59,1357
1_6_1,169,Adv,167.60805084745763,174.0,220.3649025069638,59,1416
1_6_1,169,Ele,156.3125,165.0,206.83174904942965,58,1392
1_6_1,170,Adv,157.83474576271186,168.0,218.3091575091575,59,1888
1_6_1,170,Ele,149.9855172413793,157.0,211.76144109055502,58,1450
1_6_1,171,Adv,163.82598870056498,173.0,221.52177234530177,59,1770
1_6_1,171,Ele,168.21264367816093,166.0,223.42748091603053,58,696
1_6_2,172,Adv,181.5755053507729,185.0,222.43991260014568,58,1682
1_6_2,172,Ele,183.71628592483418,185.0,225.61357466063347,59,1357
1_6_2,173,Adv,167.45619757688723,170.0,217.13655589123866,58,2146
1_6_2,173,Ele,160.00821777092963,171.0,216.79610299234517,59,1947
1_6_2,174,Adv,181.83251231527095,182.5,223.0332326283988,58,406
1_6_2,174,Ele,160.4508474576271,164.5,217.12385321100916,59,590
1_6_2,175,Adv,132.03615127919912,144.0,208.06397896581944,58,1798
1_6_2,175,Ele,137.47731000546747,152.0,210.2391304347826,59,1829
1_6_2,176,Adv,134.3603448275862,142.0,199.306905370844,58,580
1_6_2,176,Ele,143.16101694915255,161.0,218.25581395348837,59,590
1_6_3,177,Adv,164.3549049820236,172.0,224.2459705676244,59,1947
1_6_3,177,Ele,159.70632183908046,164.5,217.610806577917,58,1740
1_6_3,178,Adv,152.16949152542372,162.0,213.55004955401387,59,1416
1_6_3,178,Ele,162.6844827586207,167.0,218.92575406032483,58,1160
1_6_3,179,Adv,172.8728813559322,177.0,227.16035634743875,59,1180
1_6_3,179,Ele,160.90125391849529,163.5,211.44181256436664,58,1276
1_6_3,180,Adv,184.19823139277818,179.0,233.16884328358208,59,1357
1_6_3,180,Ele,165.34279918864098,165.0,219.4185733512786,58,986
1_6_4,181,Adv,167.11206896551724,176.0,214.1988950276243,58,928
1_6_4,181,Ele,145.78481945467945,159.0,213.63930885529157,59,1357
1_6_4,182,Adv,142.29310344827587,149.5,209.5683192261185,58,1218
1_6_4,182,Ele,148.31880548829702,163.0,216.1964705882353,59,1239
1_6_4,183,Adv,145.78675136116152,151.0,215.93682795698925,58,1102
1_6_4,183,Ele,139.74875373878365,151.0,211.41478129713423,59,1003
1_6_4,184,Adv,140.28352490421457,147.0,211.8457087753134,58,1566
1_6_4,184,Ele,151.75111507582517,161.0,215.87944162436548,59,1121
1_6_4,185,Adv,157.11019490254873,166.0,219.4607329842932,58,1334
1_6_4,185,Ele,145.08757062146893,162.0,217.4010582010582,59,1416
1_7_1,186,Adv,144.45459770114942,158.0,214.6464560204953,58,1740
1_7_1,186,Ele,149.92894393741852,165.0,216.76814326107447,59,1534
1_7_1,187,Adv,145.47701149425288,153.5,216.535500427716,58,1740
1_7_1,187,Ele,152.14406779661016,158.0,214.5776892430279,59,1062
1_7_1,188,Adv,137.96971109040075,147.0,212.39813486370159,58,2146
1_7_1,188,Ele,133.1551906779661,147.5,204.0560064935065,59,1888
1_7_1,189,Adv,132.03539019963702,136.0,202.0875,58,1102
1_7_1,189,Ele,139.02234206471493,155.0,210.56126021003502,59,1298
1_7_1,190,Adv,144.64367816091954,149.5,220.38528896672506,58,870
1_7_1,190,Ele,153.42055084745763,160.0,215.19910846953937,59,944
1_7_1,191,Adv,127.39408866995073,143.5,215.50833333333333,58,406
1_7_1,191,Ele,128.818401937046,127.0,212.808,59,413
1_7_1,192,Adv,114.86896551724138,111.0,204.99692307692308,58,580
1_7_1,192,Ele,123.28474576271186,136.0,219.09036144578315,59,590
1_7_1,193,Adv,143.93534482758622,152.5,211.34810126582278,58,232
1_7_1,193,Ele,153.08474576271186,148.0,202.2089552238806,59,177
1_7_2,194,Adv,143.00985221674875,152.0,214.88527017024427,58,2030
1_7_2,194,Ele,140.5771324863884,154.0,216.51432564640112,58,2204
1_7_2,195,Adv,135.2383808095952,143.5,206.88990825688074,58,1334
1_7_2,195,Ele,153.9,159.0,220.12823674475956,58,1160
1_7_2,196,Adv,162.71200510855684,171.0,222.92825896762903,58,1566
1_7_2,196,Ele,150.56827586206896,163.5,217.45418326693226,58,1450
1_7_2,197,Adv,130.7659151193634,132.0,203.9245087900724,58,1508
