text_id,level,mean_GD,median_GD,mean_nonzero_GD,n_subjects,n_rows
3_2_4,Adv,202.13690896259703,179.0,265.0883850069412,52,5668
3_2_4,Ele,183.73309796999118,170.0,244.67512929007992,55,5665
3_2_5,Adv,190.55711835334478,172.0,259.2845806752762,55,8745
3_2_5,Ele,191.46729365524985,174.0,259.1702451073532,52,7124
3_3_1,Adv,206.37815741305675,178.0,281.8781666666667,55,8195
3_3_1,Ele,205.26259479956664,178.0,280.15878003696855,52,7384
3_3_2,Adv,203.3650156739812,178.0,270.53144286905757,55,7975
3_3_2,Ele,201.26217948717948,178.5,272.48340203948794,52,6240
3_3_3,Adv,202.57856781376518,173.0,281.30375966268446,52,7904
3_3_3,Ele,182.0919438285292,167.0,258.57514693534847,55,6765
3_3_4,Adv,216.70388019060584,180.0,295.19473293768544,52,7345
3_3_4,Ele,187.6703125,168.0,267.82870464220554,55,7040
3_3_5,Adv,198.94785353535354,172.0,274.93753271680333,55,7920
3_3_5,Ele,205.92958812840703,178.0,281.2156741108354,52,6604
3_4_1,Adv,187.05153135634419,168.0,263.8991769547325,51,6171
3_4_1,Ele,158.7831485587583,160.0,234.48330058939095,55,4510
3_4_2,Adv,185.54017595307917,167.0,261.61594442606685,55,8525
3_4_2,Ele,198.83299526707233,175.5,269.2985347985348,51,5916
3_4_3,Adv,194.84724164724165,173.0,266.6614206720544,55,6435
3_4_3,Ele,184.9936274509804,172.5,262.16533518582844,51,4080
3_4_4,Adv,186.54454545454544,172.0,254.78690051218376,55,8800
3_4_4,Ele,183.14327485380116,169.0,251.96284902981543,51,5814
3_4_5,Adv,202.51476050830888,177.0,268.70635538261996,55,5115
3_4_5,Ele,181.89646102343377,171.0,253.3103563103563,51,4182
3_5_1,Adv,204.12912087912088,179.0,276.7091682922504,52,7644
3_5_1,Ele,186.6915702479339,173.0,252.68098434004474,55,6050
3_5_2,Adv,189.4393761726079,167.0,270.4283562102444,52,8528
3_5_2,Ele,173.1927738927739,163.0,248.3278743315508,55,8580
3_5_3,Adv,190.62227682227683,174.0,257.98027045001106,55,6105
