text_id,align_idx,level,mean_TF,median_TF,mean_nonzero_TF,n_subjects,n_rows
1_3_2,95,Adv,359.76465517241377,270.5,447.7757510729614,58,1160
1_3_2,95,Ele,289.27679782903664,204.0,416.400390625,59,1474
1_3_2,96,Adv,350.40627450980395,245.0,470.7776606954689,58,1275
1_3_2,96,Ele,293.2016949152542,224.5,376.06304347826085,59,590
1_3_2,97,Adv,274.3397565922921,213.5,389.7680115273775,58,986
1_3_2,97,Ele,292.3813559322034,215.5,401.1744186046512,59,944
1_3_3,98,Adv,306.6357285429142,213.0,412.41476510067116,59,1002
1_3_3,98,Ele,332.1837088388215,231.0,420.79034028540065,58,1154
1_3_3,99,Adv,327.61581920903956,207.0,442.6564885496183,59,177
1_3_3,99,Ele,357.3390804597701,257.5,464.0074626865672,58,174
1_3_3,100,Adv,296.5416666666667,236.0,395.3888888888889,59,648
1_3_3,100,Ele,229.33023872679044,184.0,344.4521912350598,58,754
1_3_3,101,Adv,224.24227318045862,171.0,345.4915514592934,59,1003
1_3_3,101,Ele,245.97844827586206,196.5,365.81410256410254,58,232
1_3_3,102,Adv,349.56487025948104,233.0,456.6675358539765,59,1002
1_3_3,102,Ele,183.10344827586206,158.0,289.37329700272477,58,580
1_3_3,103,Adv,324.3305084745763,226.0,455.60714285714283,59,236
1_3_3,103,Ele,188.04885057471265,147.0,293.45739910313904,58,348
1_3_3,104,Adv,230.17221135029354,181.0,344.583984375,59,1533
1_3_3,104,Ele,194.46675191815856,150.0,323.21572794899043,58,1564
1_3_3,105,Adv,250.16203703703704,173.0,379.6370023419204,59,648
1_3_3,105,Ele,236.4094827586207,151.5,395.53125,58,696
1_3_4,106,Adv,278.6754320060105,204.0,380.8182751540041,58,1331
1_3_4,106,Ele,246.80629539951573,188.0,338.64119601328906,59,413
1_3_4,107,Adv,329.65934065934067,219.0,433.8698347107438,58,637
1_3_4,107,Ele,245.22545454545454,183.0,357.43992932862193,59,825
1_3_4,108,Adv,279.44145873320537,199.0,396.70027247956403,58,1042
1_3_4,108,Ele,261.5641509433962,186.0,382.4248275862069,59,1060
1_3_4,109,Adv,249.60873521383076,184.0,375.26675786593705,58,1099
1_3_4,110,Adv,253.4073160706946,188.0,373.2082324455206,58,2433
1_3_4,110,Ele,238.64646036456125,182.0,357.4393650793651,59,2359
1_3_5,111,Adv,327.87931034482756,254.5,417.0394736842105,58,1160
1_3_5,112,Adv,323.61172839506173,209.0,446.1710638297872,58,1620
1_3_5,112,Ele,314.88510638297873,216.0,429.59651669085633,59,940
1_3_5,113,Adv,361.0037037037037,276.5,471.6338709677419,58,810
1_3_5,114,Adv,257.1121297602257,184.0,385.60021152829194,58,5672
