text_id,level,mean_HigherPassFixation,median_HigherPassFixation,mean_nonzero_HigherPassFixation,n_subjects,n_rows
2_2_3,Adv,191.1262932572244,0.0,419.19170579029736,54,2803
2_2_3,Ele,203.99824376536705,0.0,440.3206974981046,56,2847
2_2_4,Adv,324.99950298210734,180.5,523.9575320512821,56,2012
2_2_4,Ele,191.0006605019815,0.0,435.50451807228916,54,1514
2_2_5,Adv,188.501389239707,0.0,431.8732638888889,55,3959
2_2_5,Ele,149.35261517145827,0.0,374.61424847958295,54,2887
2_2_6,Adv,192.4506717850288,0.0,454.51858567543064,56,2605
2_2_6,Ele,145.70927601809956,0.0,370.13505747126436,54,1768
2_3_1,Adv,155.88108108108108,0.0,416.03796507213366,54,3515
2_3_1,Ele,129.28464619492658,0.0,358.6451851851852,56,3745
2_3_2,Adv,139.94341943419434,0.0,379.4996664442962,54,4065
2_3_2,Ele,162.59202453987731,0.0,402.4677296886864,56,3260
2_3_3,Adv,212.8712139279752,0.0,457.49308047155307,56,4193
2_3_3,Ele,172.54059739167016,0.0,406.47076313181367,54,2377
2_3_4,Adv,154.57616809510645,0.0,456.7826797385621,54,3617
2_3_4,Ele,139.82058414464535,0.0,404.5513078470825,56,2876
2_4_1,Adv,171.40015186028853,0.0,435.7799227799228,56,2634
2_4_1,Ele,132.1548311990687,0.0,366.1967741935484,54,1718
2_4_2,Adv,227.75596722479514,0.0,504.98499210110583,56,2807
2_4_2,Ele,177.4263105835806,0.0,435.38349514563106,53,2022
2_4_3,Adv,217.0612760581175,34.0,433.0283553875236,56,3166
2_4_3,Ele,213.758202247191,28.0,426.5578475336323,53,2225
2_4_4,Adv,203.51874796217803,0.0,454.6190823015295,56,3067
2_4_4,Ele,209.58843830888696,0.0,460.49857819905213,53,2318
2_4_5,Adv,189.83180428134557,0.0,486.6506968641115,53,2943
2_4_5,Ele,160.4535666218035,0.0,398.3859649122807,56,2972
2_4_6,Adv,166.82513661202185,0.0,405.97074468085106,53,1830
2_4_6,Ele,150.42213804713805,0.0,401.1257014590348,56,2376
2_4_7,Adv,199.05045351473922,0.0,474.4932432432432,56,3528
2_4_7,Ele,162.58642824392481,0.0,401.13235294117646,53,2181
2_5_1,Adv,157.9228627123364,0.0,423.2097014925373,54,3591
2_5_1,Ele,122.4350605652759,0.0,370.9245667686035,56,2972
2_5_2,Adv,146.08109382366808,0.0,410.3814569536424,54,4242
2_5_2,Ele,131.99783415841586,0.0,384.68620378719567,56,3232
2_5_3,Adv,206.1483704974271,0.0,474.10059171597635,56,2332
2_5_3,Ele,117.91941031941032,0.0,342.80857142857144,54,2035
2_5_4,Adv,182.18420107719928,0.0,410.83643724696356,54,2785
2_5_4,Ele,187.50911251980983,0.0,435.79465930018415,56,2524
2_5_5,Adv,171.20132795826416,0.0,444.82809611829947,56,4217
2_5_5,Ele,129.9192108971348,0.0,397.9827338129496,54,2129
2_6_1,Adv,135.45839458982653,0.0,366.50278440731904,54,3401
2_6_1,Ele,155.93978254809034,0.0,402.41438848920865,56,3587
2_6_2,Adv,169.93743016759777,0.0,439.5780346820809,56,2685
2_6_2,Ele,109.56376999567661,0.0,339.70643431635386,54,2313
2_6_3,Adv,152.81311018131103,0.0,391.3107142857143,54,2151
2_6_3,Ele,162.75730994152048,0.0,422.22250316055624,56,2052
2_6_4,Adv,187.99048072346503,0.0,439.0972762645914,56,4202
2_6_4,Ele,161.51410934744268,0.0,419.6036655211913,54,2268
2_7_1,Adv,224.09020518776617,0.0,483.563074352548,56,2583
