text_id,level,SkipRateFirstPass,SkipRateTotal,n_subjects,n_rows
3_2_5,Ele,0.5072992700729927,0.2612296462661426,52,7124
3_3_1,Adv,0.5205613178767541,0.26784624771201954,55,8195
3_3_1,Ele,0.47156013001083424,0.2673347778981582,52,7384
3_3_2,Adv,0.5164890282131661,0.2482758620689655,55,7975
3_3_2,Ele,0.4737179487179487,0.26137820512820514,52,6240
3_3_3,Adv,0.538588056680162,0.2798582995951417,52,7904
3_3_3,Ele,0.5220990391722099,0.2957871396895787,55,6765
3_3_4,Adv,0.5095983662355343,0.26589516678012254,52,7345
3_3_4,Ele,0.5366477272727272,0.29928977272727275,55,7040
3_3_5,Adv,0.5273989898989899,0.2763888888888889,55,7920
3_3_5,Ele,0.48152634766807995,0.2677165354330709,52,6604
3_4_1,Adv,0.467671366067088,0.2912007778317939,51,6171
3_4_1,Ele,0.4840354767184035,0.3228381374722838,55,4510
3_4_2,Adv,0.5289149560117302,0.29079178885630497,55,8525
3_4_2,Ele,0.45605138607167006,0.2616632860040568,51,5916
3_4_3,Adv,0.4705516705516706,0.2693084693084693,55,6435
3_4_3,Ele,0.4375,0.2943627450980392,51,4080
3_4_4,Adv,0.5129545454545454,0.2678409090909091,55,8800
3_4_4,Ele,0.520983832129343,0.2731338149294806,51,5814
3_4_5,Adv,0.49931573802541546,0.24633431085043989,55,5115
3_4_5,Ele,0.4770444763271162,0.281922525107604,51,4182
3_5_1,Adv,0.4846938775510204,0.26229722658294086,52,7644
3_5_1,Ele,0.5219834710743801,0.2611570247933884,55,6050
3_5_2,Adv,0.547373358348968,0.299484052532833,52,8528
3_5_2,Ele,0.5588578088578089,0.30256410256410254,55,8580
3_5_3,Adv,0.5277641277641277,0.26109746109746107,55,6105
3_5_3,Ele,0.47423450336071693,0.25746825989544436,52,5356
3_5_4,Adv,0.5171657201858544,0.27607124419204954,52,7748
3_5_4,Ele,0.5214141414141414,0.26626262626262626,55,4950
3_6_1,Adv,0.49320416425679586,0.2930884904569115,52,6916
3_6_1,Ele,0.47476808905380335,0.288682745825603,55,5390
3_6_2,Adv,0.47779433681073025,0.2611028315946349,55,3355
3_6_2,Ele,0.45397225725094575,0.25220680958385877,52,3172
3_6_3,Adv,0.4662379421221865,0.26242888943853576,52,4043
3_6_3,Ele,0.4890374331550802,0.28475935828877,55,3740
3_6_4,Adv,0.48329004329004327,0.25316017316017314,55,5775
3_6_4,Ele,0.4658653846153846,0.26177884615384617,52,4160
3_6_5,Adv,0.5028439869989165,0.2555525460455038,52,7384
3_6_5,Ele,0.5290909090909091,0.27735537190082643,55,6050
3_6_6,Adv,0.5567045454545455,0.3028409090909091,55,8800
3_6_6,Ele,0.5120530877573131,0.272887323943662,52,7384
3_6_7,Adv,0.4558504875406284,0.24702058504875407,52,3692
3_6_7,Ele,0.45454545454545453,0.296524064171123,55,3740
3_7_1,Adv,0.4798056904927134,0.23511450381679388,55,7205
3_7_1,Ele,0.48464519976147885,0.26610017889087656,52,6708
3_7_2,Adv,0.5490909090909091,0.3002597402597403,55,7700
3_7_2,Ele,0.5175979680696662,0.3111393323657475,52,5512
3_7_3,Adv,0.47205882352941175,0.2504010695187166,55,7480
3_7_3,Ele,0.4469496021220159,0.2541445623342175,52,6032
3_7_4,Adv,0.4874692162827756,0.24424163407214255,52,6903
3_7_4,Ele,0.4997918112421929,0.2813324080499653,55,7205
3_7_5,Adv,0.4874364112841067,0.2706952366271004,52,6487
3_7_5,Ele,0.5002548853016143,0.2861512319456245,55,5885
3_7_6,Adv,0.4900900900900901,0.30794430794430794,55,6105
3_7_6,Ele,0.49556213017751477,0.31339814032121727,52,4732
3_7_7,Adv,0.5100051975051975,0.3082120582120582,52,7696
3_7_7,Ele,0.5261538461538462,0.3265734265734266,55,7150
3_8_1,Adv,0.5186023127199598,0.31359979889391654,52,7956
3_8_1,Ele,0.5460506706408346,0.3120715350223547,55,6710
3_8_2,Adv,0.4742445054945055,0.28760302197802196,52,5824
3_8_2,Ele,0.49757575757575756,0.26262626262626265,55,4950
3_8_3,Adv,0.5262295081967213,0.2900149031296572,55,6710
3_8_3,Ele,0.48790642347343377,0.29183187946074546,52,5044
3_8_4,Adv,0.5401330376940133,0.27479674796747966,55,6765
3_8_4,Ele,0.4923469387755102,0.29925431711145994,52,5096
3_8_5,Adv,0.4729020979020979,0.26551573426573427,52,4576
3_8_5,Ele,0.45292207792207795,0.24772727272727274,55,3080
3_8_6,Adv,0.5050031269543465,0.27220137585991244,52,6396
3_8_6,Ele,0.5034632034632035,0.27705627705627706,55,4620
3_9_1,Adv,0.4882483370288248,0.29645232815964523,55,4510
3_9_1,Ele,0.4850678733031674,0.3028657616892911,51,3315
3_9_2,Adv,0.5464646464646464,0.29955106621773286,55,8910
3_9_2,Ele,0.5085075352455032,0.30303030303030304,51,6171
3_9_3,Adv,0.5215643274853801,0.3043372319688109,55,8208
3_9_3,Ele,0.5231756214915798,0.30473135525260625,51,6235
3_9_4,Adv,0.4922517394054396,0.25221378874130296,51,6324
3_9_4,Ele,0.5027972027972027,0.25990675990675993,55,4290
