text_id,align_idx,level,mean_NF,median_NF,mean_nonzero_NF,n_subjects,n_rows
1_2_4,76,Adv,1.5205026455026456,1.0,2.0096153846153846,54,1512
1_2_4,76,Ele,1.3928571428571428,1.0,1.9145454545454546,54,1512
1_2_4,77,Adv,1.299074074074074,1.0,1.7214723926380369,54,1080
1_2_4,77,Ele,1.1337448559670782,1.0,1.5653409090909092,54,486
1_2_4,78,Adv,1.5648148148148149,1.0,1.988235294117647,54,432
1_2_4,78,Ele,1.4320987654320987,1.0,1.982905982905983,54,486
1_2_4,79,Adv,1.4648148148148148,1.0,1.9014423076923077,54,540
1_2_4,79,Ele,1.0246913580246915,1.0,1.537037037037037,54,324
1_2_4,80,Adv,1.3465608465608465,1.0,1.7138047138047139,54,378
1_2_4,80,Ele,1.3179012345679013,1.0,1.7644628099173554,54,324
1_2_4,81,Adv,1.188034188034188,1.0,1.7795163584637268,54,2106
1_2_4,81,Ele,1.147119341563786,1.0,1.7670364500792393,54,972
1_2_5,82,Adv,2.301440329218107,2.0,2.61943793911007,54,972
1_2_5,82,Ele,1.8446502057613168,1.0,2.2245657568238215,54,972
1_2_5,83,Adv,2.0462962962962963,1.0,2.466517857142857,54,1080
1_2_5,83,Ele,1.7671957671957672,1.0,2.2119205298013247,54,1134
1_2_5,84,Adv,1.6057098765432098,1.0,2.0706467661691543,54,1296
1_2_5,84,Ele,1.2923976608187135,1.0,1.782258064516129,54,1026
1_2_5,85,Adv,1.3318518518518518,1.0,1.7801980198019802,54,1350
1_2_5,85,Ele,1.114074074074074,1.0,1.5394063459570113,54,1350
1_2_5,86,Adv,1.1805555555555556,1.0,1.6919431279620853,54,1512
1_2_6,87,Adv,1.9737654320987654,1.0,2.393636930754835,54,1944
1_2_6,87,Ele,1.760185185185185,1.0,2.1577752553916003,54,1080
1_2_6,88,Adv,1.952991452991453,1.0,2.572232645403377,54,702
1_2_6,88,Ele,1.6552706552706553,1.0,2.116575591985428,54,702
1_2_6,89,Adv,1.9465020576131686,1.0,2.51930758988016,54,972
1_2_6,89,Ele,1.171851851851852,1.0,1.6794055201698515,54,1350
1_3_1,90,Adv,1.6594982078853047,1.0,2.1141552511415527,54,1674
1_3_1,90,Ele,1.3582375478927202,1.0,1.7769423558897244,54,1566
1_3_1,91,Adv,2.1331018518518516,2.0,2.5740223463687153,54,864
1_3_1,91,Ele,1.876984126984127,1.0,2.2452531645569622,54,756
1_3_1,92,Adv,1.7690631808278867,1.0,2.2155525238744884,54,918
1_3_1,92,Ele,1.2058404558404558,1.0,1.679563492063492,54,1404
1_3_1,93,Adv,1.1666666666666667,1.0,1.8276450511945392,54,918
1_3_1,93,Ele,0.9793028322440087,1.0,1.4641693811074918,54,918
1_3_2,94,Adv,1.6372549019607843,1.0,2.0759668508287294,54,918
1_3_2,94,Ele,1.5158730158730158,1.0,1.972461273666093,54,756
1_3_2,95,Adv,1.887037037037037,2.0,2.2976324689966177,54,1080
1_3_2,95,Ele,1.7977777777777777,1.0,2.3070342205323193,54,1350
1_3_2,96,Adv,1.8956228956228955,1.0,2.3482794577685087,54,1188
1_3_2,96,Ele,1.5833333333333333,1.0,1.8708971553610503,54,540
1_3_2,97,Adv,1.7167755991285403,1.0,2.1798063623789763,54,918
1_3_2,97,Ele,1.6990740740740742,1.0,2.146198830409357,54,864
1_3_3,98,Adv,1.7777777777777777,1.0,2.208389715832206,54,918
1_3_3,98,Ele,1.9712962962962963,2.0,2.3141304347826086,54,1080
1_3_3,99,Adv,1.9259259259259258,1.0,2.381679389312977,54,162
1_3_3,99,Ele,1.8641975308641976,2.0,2.2706766917293235,54,162
1_3_3,100,Adv,1.6481481481481481,1.0,2.0697674418604652,54,594
1_3_3,100,Ele,1.1737891737891737,1.0,1.6,54,702
1_3_3,101,Adv,1.3703703703703705,1.0,1.7971428571428572,54,918
1_3_3,101,Ele,1.3055555555555556,1.0,1.7407407407407407,54,216
1_3_3,102,Adv,2.0119825708061003,1.0,2.4758713136729225,54,918
1_3_3,102,Ele,1.0814814814814815,1.0,1.5287958115183247,54,540
1_3_3,103,Adv,2.1064814814814814,2.0,2.8260869565217392,54,216
1_3_3,103,Ele,1.0987654320987654,1.0,1.5614035087719298,54,324
1_3_3,104,Adv,1.3817663817663817,1.0,1.9000979431929481,54,1404
1_3_3,104,Ele,1.2318244170096022,1.0,1.7436893203883495,54,1458
1_3_3,105,Adv,1.2239057239057238,1.0,1.773170731707317,54,594
1_3_3,105,Ele,1.183641975308642,1.0,1.8261904761904761,54,648
1_3_4,106,Adv,1.5740740740740742,1.0,2.0133882595262618,54,1242
1_3_4,106,Ele,1.5052910052910053,1.0,1.9825783972125435,54,378
1_3_4,107,Adv,1.7592592592592593,1.0,2.1239837398373984,54,594
1_3_4,107,Ele,1.4351851851851851,1.0,1.9340463458110517,54,756
1_3_4,108,Adv,1.6574074074074074,1.0,2.1141732283464565,54,972
1_3_4,108,Ele,1.7613168724279835,1.0,2.3135135135135134,54,972
1_3_4,109,Adv,1.4844054580896686,1.0,2.0065876152832676,54,1026
1_3_4,110,Adv,1.5061728395061729,1.0,2.0867440439828955,54,2268
1_3_4,110,Ele,1.3967592592592593,1.0,1.91191381495564,54,2160
1_3_5,111,Adv,1.7222222222222223,1.0,2.0993227990970653,54,1080
1_3_5,112,Adv,1.8009259259259258,1.0,2.280569514237856,54,1512
1_3_5,112,Ele,1.6585648148148149,1.0,2.145209580838323,54,864
1_3_5,113,Adv,1.9801587301587302,2.0,2.391373801916933,54,756
1_3_5,114,Adv,1.5839002267573696,1.0,2.153095299255073,54,5292
