pred_col,text_col,level_type
mean_nonzero_TF,Pythia 2.8B Mean,Ele
mean_nonzero_TF,Pythia 2.8B Mean,diff
mean_nonzero_TF,Pythia 6.9B Mean,Adv
mean_nonzero_TF,Pythia 6.9B Mean,Ele
mean_nonzero_TF,Pythia 6.9B Mean,diff
mean_nonzero_TF,GPT-2 117M Mean,Adv
mean_nonzero_TF,GPT-2 117M Mean,Ele
mean_nonzero_TF,GPT-2 117M Mean,diff
mean_nonzero_TF,GPT-2 345M Mean,Adv
mean_nonzero_TF,GPT-2 345M Mean,Ele
mean_nonzero_TF,GPT-2 345M Mean,diff
mean_nonzero_TF,GPT-2 774M Mean,Adv
mean_nonzero_TF,GPT-2 774M Mean,Ele
mean_nonzero_TF,GPT-2 774M Mean,diff
mean_nonzero_TF,GPT-2 1558M Mean,Adv
mean_nonzero_TF,GPT-2 1558M Mean,Ele
mean_nonzero_TF,GPT-2 1558M Mean,diff
mean_nonzero_TF,GPT-J 6B Mean,Adv
mean_nonzero_TF,GPT-J 6B Mean,Ele
mean_nonzero_TF,GPT-J 6B Mean,diff
mean_nonzero_TF,GPT-Neo 125M Mean,Adv
mean_nonzero_TF,GPT-Neo 125M Mean,Ele
mean_nonzero_TF,GPT-Neo 125M Mean,diff
mean_nonzero_TF,GPT-Neo 1.3B Mean,Adv
mean_nonzero_TF,GPT-Neo 1.3B Mean,Ele
mean_nonzero_TF,GPT-Neo 1.3B Mean,diff
mean_nonzero_TF,GPT-Neo 2.7B Mean,Adv
mean_nonzero_TF,GPT-Neo 2.7B Mean,Ele
mean_nonzero_TF,GPT-Neo 2.7B Mean,diff
mean_nonzero_TF,Llama-2 7B Mean,Adv
mean_nonzero_TF,Llama-2 7B Mean,Ele
mean_nonzero_TF,Llama-2 7B Mean,diff
mean_nonzero_TF,Llama-2 13B Mean,Adv
mean_nonzero_TF,Llama-2 13B Mean,Ele
mean_nonzero_TF,Llama-2 13B Mean,diff
mean_nonzero_TF,OPT 350M Mean,Adv
mean_nonzero_TF,OPT 350M Mean,Ele
mean_nonzero_TF,OPT 350M Mean,diff
mean_nonzero_TF,OPT 1.3B Mean,Adv
mean_nonzero_TF,OPT 1.3B Mean,Ele
mean_nonzero_TF,OPT 1.3B Mean,diff
mean_nonzero_TF,OPT 2.7B Mean,Adv
mean_nonzero_TF,OPT 2.7B Mean,Ele
mean_nonzero_TF,OPT 2.7B Mean,diff
mean_nonzero_TF,OPT 6.7B Mean,Adv
mean_nonzero_TF,OPT 6.7B Mean,Ele
mean_nonzero_TF,OPT 6.7B Mean,diff
mean_nonzero_TF,Mistral-v0.1 7B Mean,Adv
mean_nonzero_TF,Mistral-v0.1 7B Mean,Ele
mean_nonzero_TF,Mistral-v0.1 7B Mean,diff
mean_nonzero_TF,Mistral-v0.3 7B Mean,Adv
mean_nonzero_TF,Mistral-v0.3 7B Mean,Ele
mean_nonzero_TF,Mistral-v0.3 7B Mean,diff
mean_nonzero_TF,Gemma 7B Mean,Adv
mean_nonzero_TF,Gemma 7B Mean,Ele
mean_nonzero_TF,Gemma 7B Mean,diff
mean_nonzero_TF,Gemma-2 9B Mean,Adv
mean_nonzero_TF,Gemma-2 9B Mean,Ele
mean_nonzero_TF,Gemma-2 9B Mean,diff
mean_nonzero_TF,Recurrent-Gemma 9B Mean,Adv
mean_nonzero_TF,Recurrent-Gemma 9B Mean,Ele
mean_nonzero_TF,Recurrent-Gemma 9B Mean,diff
mean_nonzero_TF,RWKV-4 169M Mean,Adv
mean_nonzero_TF,RWKV-4 169M Mean,Ele
mean_nonzero_TF,RWKV-4 169M Mean,diff
mean_nonzero_TF,RWKV-4 430M Mean,Adv
mean_nonzero_TF,RWKV-4 430M Mean,Ele
mean_nonzero_TF,RWKV-4 430M Mean,diff
mean_nonzero_TF,Mamba 370M Mean,Adv
mean_nonzero_TF,Mamba 370M Mean,Ele
mean_nonzero_TF,Mamba 370M Mean,diff
mean_nonzero_TF,Mamba 790M Mean,Adv
mean_nonzero_TF,Mamba 790M Mean,Ele
mean_nonzero_TF,Mamba 790M Mean,diff
