text_id,level,mean_FD,median_FD,mean_nonzero_FD,n_subjects,n_rows
2_8_2,Adv,199.29914949296696,185.0,199.29914949296696,50,6114
2_8_2,Ele,204.24444845640008,190.0,204.24444845640008,49,5539
2_8_3,Adv,208.64838480653177,189.5,208.64838480653177,49,5634
2_8_3,Ele,200.33512651922695,183.0,200.33512651922695,50,5019
2_8_4,Adv,205.8855949332974,191.0,205.8855949332974,49,7421
2_8_4,Ele,199.3960396039604,186.0,199.3960396039604,50,4646
2_8_5,Adv,202.7049519406254,186.0,202.7049519406254,50,8219
2_8_5,Ele,208.52779649595686,191.0,208.52779649595686,49,5936
2_8_6,Adv,202.439852700491,185.0,202.439852700491,50,4888
2_8_6,Ele,202.6404971203395,186.0,202.6404971203395,49,3299
2_9_1,Adv,215.96635300826918,198.0,215.96635300826918,49,7014
2_9_1,Ele,204.19841993315103,187.0,204.19841993315103,50,6582
2_9_2,Adv,220.85273614499826,202.0,220.85273614499826,49,5738
2_9_2,Ele,203.02986857825567,188.0,203.02986857825567,50,5022
2_9_3,Adv,213.51833088921478,197.0,213.51833088921478,49,7501
2_9_3,Ele,198.98994875837604,184.0,198.98994875837604,50,5074
2_9_4,Adv,205.90293424155095,189.0,205.90293424155095,50,7634
2_9_4,Ele,211.45279414106034,195.0,211.45279414106034,49,6281
2_9_5,Adv,212.43541416566626,196.0,212.43541416566626,49,8330
2_9_5,Ele,200.14456504640555,184.0,200.14456504640555,50,6357
2_9_6,Adv,203.74076029567053,186.0,203.74076029567053,50,7576
2_9_6,Ele,211.27040687389436,196.0,211.27040687389436,49,3957
3_10_1,Adv,201.45510907003444,186.0,201.45510907003444,47,4355
3_10_1,Ele,191.634484228474,178.0,191.634484228474,47,4692
3_10_2,Adv,195.95786126018683,180.0,195.95786126018683,47,5031
3_10_2,Ele,202.90174873446847,189.0,202.90174873446847,47,4346
3_10_3,Adv,193.16520039100683,179.0,193.16520039100683,47,5115
3_10_3,Ele,199.34485276222927,185.0,199.34485276222927,47,4109
3_10_4,Adv,198.51587995337997,183.0,198.51587995337997,47,6864
3_10_4,Ele,198.25511508951408,184.0,198.25511508951408,47,6256
3_10_5,Adv,199.33495798319328,184.0,199.33495798319328,47,5950
3_10_5,Ele,190.44056477771417,178.0,190.44056477771417,47,5241
3_10_6,Adv,197.77206312098187,186.0,197.77206312098187,47,3422
3_10_6,Ele,192.18559635639056,180.0,192.18559635639056,47,3513
3_1_1,Adv,208.69558498896248,192.0,208.69558498896248,47,9060
3_1_1,Ele,196.9361559139785,183.0,196.9361559139785,47,7440
3_1_2,Adv,208.73692489186,190.0,208.73692489186,47,5086
3_1_2,Ele,198.13121972699253,184.0,198.13121972699253,47,4542
3_1_3,Adv,194.39573889392565,182.0,194.39573889392565,47,6618
3_1_3,Ele,198.17375306623057,183.0,198.17375306623057,47,4892
3_1_4,Adv,198.13242103097028,182.0,198.13242103097028,47,9719
3_1_4,Ele,201.62026239067055,186.0,201.62026239067055,47,6860
3_1_5,Adv,197.12843729040912,183.0,197.12843729040912,47,8946
3_1_5,Ele,200.71752720537162,186.0,200.71752720537162,47,4319
3_2_1,Adv,204.11608899651884,187.0,204.11608899651884,47,6607
3_2_1,Ele,196.93894640682095,183.0,196.93894640682095,47,6568
3_2_2,Adv,207.36234946122966,188.0,207.36234946122966,47,4733
3_2_2,Ele,206.67455138662316,191.0,206.67455138662316,47,3678
3_2_3,Adv,201.802895843064,186.0,201.802895843064,47,6423
3_2_3,Ele,201.11033243486074,186.0,201.11033243486074,47,5565
3_2_4,Adv,197.554706601467,181.0,197.554706601467,47,6544
3_2_4,Ele,199.16356547935496,183.0,199.16356547935496,47,5643
3_2_5,Adv,201.54185520361992,187.5,201.54185520361992,47,7072
3_2_5,Ele,194.38899514491686,180.0,194.38899514491686,47,6797
3_3_1,Adv,208.7257977285019,192.0,208.7257977285019,47,9245
3_3_1,Ele,194.46382778496647,181.0,194.46382778496647,47,8501
3_3_2,Adv,205.6960194547549,189.0,205.6960194547549,47,7813
3_3_2,Ele,198.43952802359883,183.0,198.43952802359883,47,7119
3_3_3,Adv,198.30105861089595,182.0,198.30105861089595,47,7746
3_3_3,Ele,205.73427812223207,189.0,205.73427812223207,47,5645
3_3_4,Adv,196.14594866633115,183.0,196.14594866633115,47,7948
3_3_4,Ele,201.68556430446193,187.0,201.68556430446193,47,5715
3_3_5,Adv,206.69359331476323,190.0,206.69359331476323,47,7539
3_3_5,Ele,195.0372828696512,181.0,195.0372828696512,47,7081
3_4_1,Adv,201.822256139864,186.0,201.822256139864,47,7207
3_4_1,Ele,200.32999472851873,186.0,200.32999472851873,47,3794
3_4_2,Adv,208.9147956246402,190.0,208.9147956246402,47,8685
3_4_2,Ele,196.30818933132983,183.0,196.30818933132983,47,6655
3_4_3,Adv,211.11355034065102,189.0,211.11355034065102,47,6605
3_4_3,Ele,197.68699086645273,181.0,197.68699086645273,47,4051
3_4_4,Adv,206.1280172413793,190.0,206.1280172413793,47,9280
3_4_4,Ele,195.07213438735178,180.0,195.07213438735178,47,7084
3_4_5,Adv,203.54548704200178,188.0,203.54548704200178,47,5595
3_4_5,Ele,191.4550659696291,177.0,191.4550659696291,47,4017
3_5_1,Adv,200.36172526277636,186.0,200.36172526277636,47,8277
3_5_1,Ele,206.7606691703653,190.0,206.7606691703653,47,5858
3_5_2,Adv,205.1802291248376,189.0,205.1802291248376,47,8467
3_5_2,Ele,205.73224043715848,189.0,205.73224043715848,47,7320
3_5_3,Adv,201.01569976076556,186.0,201.01569976076556,47,6688
3_5_3,Ele,192.16173633440513,180.0,192.16173633440513,47,6220
3_5_4,Adv,195.77577565632458,182.0,195.77577565632458,47,8380
3_5_4,Ele,198.8709470989761,185.0,198.8709470989761,47,4688
3_6_1,Adv,195.37595833936064,182.0,195.37595833936064,47,6913
3_6_1,Ele,201.49496937882765,185.0,201.49496937882765,47,4572
3_6_2,Adv,204.1567239635996,186.0,204.1567239635996,47,3956
3_6_2,Ele,194.27323330106486,181.0,194.27323330106486,47,4132
3_6_3,Adv,201.52997377294867,187.0,201.52997377294867,47,5338
3_6_3,Ele,203.7556420233463,187.0,203.7556420233463,47,3855
3_6_4,Adv,204.66129597197897,188.0,204.66129597197897,47,5710
3_6_4,Ele,196.91722148246782,181.5,196.91722148246782,47,4506
3_6_5,Adv,198.51219812715624,184.0,198.51219812715624,47,8116
3_6_5,Ele,199.78038699981212,185.0,199.78038699981212,47,5323
