text_id,level,mean_GD,median_GD,mean_nonzero_GD,n_subjects,n_rows
2_6_4,Adv,162.9788732394366,159.0,242.0505869797225,49,6958
2_6_4,Ele,139.9385882352941,141.0,219.62296898079762,50,4250
2_7_1,Adv,160.28620604868453,159.0,242.15601783060922,49,4067
2_7_1,Ele,141.74164383561643,143.0,229.12178919397698,50,3650
2_7_2,Adv,146.32893157262905,148.0,236.9390928725702,49,7497
2_7_2,Ele,142.4340206185567,141.0,229.04675066312998,50,4850
2_7_3,Adv,145.2680412371134,146.0,226.90821256038646,50,4850
2_7_3,Ele,160.38345864661653,157.0,239.29006410256412,49,3724
2_7_4,Adv,132.91262295081967,131.0,223.35179063360883,50,6100
2_7_4,Ele,147.78840970350404,149.5,233.81449893390192,49,5194
2_7_5,Adv,157.66883116883116,152.0,247.30180835585116,49,7546
2_7_5,Ele,133.792213740458,133.0,222.8736012207528,50,6550
2_7_6,Adv,131.3262162162162,126.0,227.69775070290535,50,7400
2_7_6,Ele,139.06912442396313,143.0,226.6587982832618,49,4557
2_8_1,Adv,140.84931818181818,138.0,229.1926775147929,50,4400
2_8_1,Ele,151.715458597232,152.0,240.9698211624441,49,4263
2_8_2,Adv,138.6496551724138,140.0,225.06801007556675,50,5800
2_8_2,Ele,147.0573125982876,146.0,235.54687937307585,49,5723
2_8_3,Adv,148.74329731892757,147.0,240.2776341305753,49,4998
2_8_3,Ele,125.9646,118.0,221.69060190073918,50,5000
2_8_4,Adv,155.33708655876143,153.0,238.11650485436894,49,5684
2_8_4,Ele,137.1362962962963,138.0,225.31521298174442,50,4050
2_8_5,Adv,141.14712328767123,137.0,227.4054292650629,50,7300
2_8_5,Ele,163.02968460111316,157.0,244.62016702752862,49,4851
2_8_6,Adv,141.26082474226803,135.0,235.35383029886637,50,4850
2_8_6,Ele,142.29504373177843,145.0,227.6455223880597,49,3430
2_9_1,Adv,190.18347140836534,172.0,267.0879682179342,49,4949
2_9_1,Ele,159.73884615384614,153.0,240.6960301361924,50,5200
2_9_2,Adv,178.71846011131726,165.0,262.1204081632653,49,4312
2_9_2,Ele,156.7672,156.0,233.28452380952382,50,3750
2_9_3,Adv,161.46516034985422,153.0,256.3413561675538,49,6860
2_9_3,Ele,142.59326923076924,141.0,228.8533950617284,50,5200
2_9_4,Adv,143.78052631578947,132.0,245.7234090398021,50,7600
2_9_4,Ele,147.28239202657807,145.0,244.285489372868,49,6321
2_9_5,Adv,174.35303076454463,166.0,259.88694665153236,49,6566
2_9_5,Ele,145.9972881355932,145.0,229.4576451784763,50,5900
2_9_6,Adv,147.66768,144.0,235.80045988758303,50,6250
2_9_6,Ele,164.00738916256157,167.0,237.68944416114226,49,2842
3_10_1,Adv,154.03805813605035,155.0,228.65880782918148,47,3337
3_10_1,Ele,147.85376086305064,150.0,220.2625,47,3337
3_10_2,Adv,146.45602836879434,147.0,226.59436722750547,47,4230
3_10_2,Ele,150.6037234042553,154.0,226.3269384492406,47,3760
3_10_3,Adv,139.14489361702127,139.0,224.27331961591221,47,4700
3_10_3,Ele,138.03840166061235,144.0,221.48209825145713,47,3854
3_10_4,Adv,143.46014607812003,142.0,225.70871846115412,47,6298
3_10_4,Ele,134.5598695449604,139.0,221.31060025542783,47,6439
3_10_5,Adv,129.8859182530795,129.0,223.32250300842358,47,7144
3_10_5,Ele,125.61067005398539,123.0,216.9169180148067,47,6298
3_10_6,Adv,127.59974968710888,131.0,217.01191996594295,47,3995
3_10_6,Ele,125.81965552178318,126.0,215.6908380373426,47,3948
3_1_1,Adv,150.15689857720923,144.0,243.51227773073666,47,7661
3_1_1,Ele,146.7063504953711,142.0,232.26304962715352,47,6157
3_1_2,Adv,162.61787234042552,158.0,240.6498740554156,47,3525
3_1_2,Ele,170.18336557059962,161.0,239.74059945504086,47,2585
3_1_3,Adv,139.93418743418744,138.0,227.68275271273558,47,5698
3_1_3,Ele,124.26532096744863,115.0,224.48587385019712,47,5499
3_1_4,Adv,154.46822601099055,148.0,237.5430119176598,47,7097
3_1_4,Ele,148.9330050993494,150.0,226.64757827134065,47,5687
3_1_5,Adv,158.49913743530766,153.0,236.49077649077648,47,6956
3_1_5,Ele,157.2932938324805,155.0,234.17401764234162,47,3713
3_2_1,Adv,156.84787234042554,154.0,236.46672012830794,47,5640
3_2_1,Ele,149.09474449899983,143.0,233.78157969774736,47,5499
3_2_2,Adv,179.48297872340424,165.0,258.7638036809816,47,3290
3_2_2,Ele,167.97775628626692,164.0,240.45546838947854,47,3102
3_2_3,Adv,154.88904354742493,150.0,238.3528151774786,47,5029
3_2_3,Ele,152.61088379705402,151.0,234.57924528301888,47,4888
3_2_4,Adv,150.4655475307437,147.0,231.27362736273628,47,5123
3_2_4,Ele,146.30758107828962,144.0,231.99312151981658,47,4841
3_2_5,Adv,131.77144386457914,123.0,233.12689393939394,47,7473
3_2_5,Ele,133.72387016617486,134.0,223.99791883454733,47,6439
3_3_1,Adv,166.63401399400257,157.0,249.82616142153714,47,7003
3_3_1,Ele,150.16391968834282,145.0,232.15056752374335,47,6674
3_3_2,Adv,156.26426999266323,148.0,247.89129422718807,47,6815
3_3_2,Ele,146.91790780141844,146.0,231.06999442275517,47,5640
3_3_3,Adv,136.08538633818588,129.0,234.37656702025072,47,7144
3_3_3,Ele,143.63034077149283,138.0,240.53505214368482,47,5781
3_3_4,Adv,143.66209701717383,134.0,238.34766308422894,47,6638
3_3_4,Ele,135.1253324468085,117.5,244.11831831831833,47,6016
3_3_5,Adv,147.2424645390071,139.0,243.8309273305603,47,6768
3_3_5,Ele,135.9876026135031,123.0,236.44334401398194,47,5969
3_4_1,Adv,161.64093546685422,152.0,242.61071522829243,47,5687
