text_id,level,mean_FirstPassGD,median_FirstPassGD,mean_nonzero_FirstPassGD,n_subjects,n_rows
3_1_1,Adv,255.12880633373933,213.0,255.12880633373933,47,3284
3_1_1,Ele,239.43220675944335,200.0,239.43220675944335,47,2515
3_1_2,Adv,251.1017857142857,209.5,251.1017857142857,47,1680
3_1_2,Ele,252.43150684931507,203.5,252.43150684931507,47,1168
3_1_3,Adv,236.9664983937586,202.0,236.9664983937586,47,2179
3_1_3,Ele,230.70754257907544,200.0,230.70754257907544,47,2055
3_1_4,Adv,245.28596552937037,205.0,245.28596552937037,47,2843
3_1_4,Ele,233.57599667774087,203.0,233.57599667774087,47,2408
3_1_5,Adv,241.40283540802213,203.0,241.40283540802213,47,2892
3_1_5,Ele,244.98471986417658,207.0,244.98471986417658,47,1767
3_2_1,Adv,245.54086629001884,207.0,245.54086629001884,47,2655
3_2_1,Ele,237.0941684665227,196.0,237.0941684665227,47,2315
3_2_2,Adv,265.50320699708453,217.0,265.50320699708453,47,1715
3_2_2,Ele,248.11870727159726,211.0,248.11870727159726,47,1609
3_2_3,Adv,245.8561797752809,204.0,245.8561797752809,47,2225
3_2_3,Ele,240.50185261424454,206.0,240.50185261424454,47,2429
3_2_4,Adv,236.61694290976058,197.0,236.61694290976058,47,2172
3_2_4,Ele,242.20090180360722,202.0,242.20090180360722,47,1996
3_2_5,Adv,242.50918079096044,210.0,242.50918079096044,47,2832
3_2_5,Ele,229.1415854175498,197.0,229.1415854175498,47,2359
3_3_1,Adv,265.058615136876,220.0,265.058615136876,47,3105
3_3_1,Ele,236.00755124056096,197.0,236.00755124056096,47,2781
3_3_2,Adv,264.5694259012016,211.0,264.5694259012016,47,2996
3_3_2,Ele,235.32196508323185,200.0,235.32196508323185,47,2463
3_3_3,Adv,241.79907539118065,199.0,241.79907539118065,47,2812
3_3_3,Ele,248.69640694388374,211.0,248.69640694388374,47,2477
3_3_4,Adv,243.7918200408998,202.0,243.7918200408998,47,2445
3_3_4,Ele,254.91257731958763,213.0,254.91257731958763,47,2425
3_3_5,Adv,259.88207200587806,216.0,259.88207200587806,47,2722
3_3_5,Ele,235.25978811607555,204.0,235.25978811607555,47,2171
3_4_1,Adv,248.15793558401242,202.0,248.15793558401242,47,2577
3_4_1,Ele,232.22758990874934,197.0,232.22758990874934,47,1863
3_4_2,Adv,257.91003354681305,211.0,257.91003354681305,47,3279
3_4_2,Ele,245.15644555694618,207.0,245.15644555694618,47,2397
3_4_3,Adv,259.67395331604297,213.0,259.67395331604297,47,2699
3_4_3,Ele,245.83694474539544,206.0,245.83694474539544,47,1846
3_4_4,Adv,254.39612942243724,215.0,254.39612942243724,47,3307
3_4_4,Ele,232.54948162111216,198.0,232.54948162111216,47,2122
3_4_5,Adv,252.2215628090999,209.0,252.2215628090999,47,2022
3_4_5,Ele,232.04058338617628,195.0,232.04058338617628,47,1577
3_5_1,Adv,244.35933806146573,207.0,244.35933806146573,47,2538
3_5_1,Ele,247.78881179531658,208.0,247.78881179531658,47,2306
3_5_2,Adv,237.0576652601969,200.0,237.0576652601969,47,2844
3_5_2,Ele,239.22734761120265,205.0,239.22734761120265,47,3035
3_5_3,Adv,246.54232424677187,212.0,246.54232424677187,47,2091
3_5_3,Ele,233.9258589511754,201.0,233.9258589511754,47,1659
3_5_4,Adv,229.9530713468142,197.0,229.9530713468142,47,2621
3_5_4,Ele,230.6198647945918,204.0,230.6198647945918,47,1923
3_6_1,Adv,234.7970297029703,195.5,234.7970297029703,47,2626
3_6_1,Ele,242.30762167125803,209.0,242.30762167125803,47,2178
3_6_2,Adv,237.1808659217877,197.0,237.1808659217877,47,1432
3_6_2,Ele,236.45970567624386,201.0,236.45970567624386,47,1427
3_6_3,Adv,258.1906005221932,212.0,258.1906005221932,47,1915
3_6_3,Ele,248.51249238269347,209.0,248.51249238269347,47,1641
3_6_4,Adv,268.2606837606838,221.0,268.2606837606838,47,2340
3_6_4,Ele,242.1036552100382,202.0,242.1036552100382,47,1833
3_6_5,Adv,234.26686769694686,200.0,234.26686769694686,47,2653
3_6_5,Ele,245.81923254738788,209.0,245.81923254738788,47,2163
3_6_6,Adv,244.6538592315539,208.0,244.6538592315539,47,2941
3_6_6,Ele,229.79537572254335,198.0,229.79537572254335,47,2595
3_6_7,Adv,245.2435400516796,207.0,245.2435400516796,47,1548
3_6_7,Ele,238.92332474226805,204.0,238.92332474226805,47,1552
