l1_or_l2,batch,text_level,preview,version,measure,n_raters,n_items,kendalls_w,kendalls_w_pvalue,avg_spearmans_rho,avg_kendalls_tau,avg_pearson_r
L2,2,paragraph,Gathering,V1,TF,24,54,0.20971031065370688,0.0,0.17534988937778107,0.12029694446976369,0.1597754106644127
L2,2,paragraph,Gathering,V0,RR,24,54,0.1889969532854753,0.0,0.1537394921459843,0.10535579113254101,0.16892298682841478
L2,2,paragraph,Gathering,V1,RR,24,54,0.16636371577409315,0.0,0.13012648353677042,0.0884265872316581,0.13414787379626206
L2,2,paragraph,Gathering,V0,SR,24,54,0.24476830675730046,0.0,0.21195320707470683,0.1461207960832224,0.23529802654678603
L2,2,paragraph,Gathering,V1,SR,24,54,0.1965200352582428,0.0,0.16159560278691784,0.11051552743717279,0.16112467484508236
L2,2,paragraph,Hunting,V0,TF,15,54,0.1883453401943968,3.6353031696023663e-11,0.1303700073511394,0.08914844763901367,0.15394217801110205
L2,2,paragraph,Hunting,V1,TF,17,54,0.17520257085446092,2.3492319201068312e-12,0.1236527315328647,0.0844945944834957,0.10280608260557715
L2,2,paragraph,Hunting,V0,RR,15,54,0.1444484255553438,1.8559640523330145e-06,0.08334586380796266,0.055608663266969116,0.09504071148987671
L2,2,paragraph,Hunting,V1,RR,17,54,0.12402025082053808,4.433640800938221e-06,0.06927645846903045,0.046855050734670146,0.06059774578936916
L2,2,paragraph,Hunting,V0,SR,15,54,0.21038121254473455,9.126033262418787e-14,0.15400084555432755,0.10614064684359083,0.14305401979652208
L2,2,paragraph,Hunting,V1,SR,17,54,0.16960873341365604,1.2957968031912515e-11,0.11771562644890035,0.07966572751277674,0.0988922632277559
L2,2,sentence,Gathering,V0,TF,24,285,0.33275212443332586,0.0,0.30137359007723935,0.20635259831873723,0.293463403855395
L2,2,sentence,Gathering,V1,TF,24,289,0.30614818987688336,0.0,0.2794979207553111,0.1903235206708639,0.2768947666526775
L2,2,sentence,Gathering,V0,RR,24,285,0.14243822950033855,0.0,0.11775384965246778,0.0813416864469595,0.11424762951621316
L2,2,sentence,Gathering,V1,RR,24,289,0.1361037193543475,0.0,0.10564756921120773,0.0730444939621265,0.11315468658941558
L2,2,sentence,Gathering,V0,SR,24,285,0.2427652557320367,0.0,0.21108507625719714,0.15039704039840762,0.19494136763762854
L2,2,sentence,Gathering,V1,SR,24,289,0.23534854719545864,0.0,0.20331757707422246,0.14301785640613224,0.2086833052708312
L2,2,sentence,Hunting,V0,TF,15,285,0.2303302244232477,0.0,0.16960884404399784,0.11520985186295302,0.18153459892762774
L2,2,sentence,Hunting,V1,TF,17,289,0.2173497151371311,0.0,0.1704743098765591,0.11559569159978106,0.1837142094963599
L2,2,sentence,Hunting,V0,RR,15,285,0.18876020671133656,0.0,0.11664690991053252,0.08105850941813356,0.11961193607142905
L2,2,sentence,Hunting,V1,RR,17,289,0.13872220926357057,1.1102230246251565e-16,0.07197481281840444,0.050473655816345095,0.08071437009445181
L2,2,sentence,Hunting,V0,SR,15,285,0.2213793762452028,0.0,0.1662022637095814,0.11650039414922465,0.14508522913198724
L2,2,sentence,Hunting,V1,SR,17,289,0.21740745186667212,0.0,0.1689800985393863,0.11819755190827891,0.14594300852149644
L2,3,paragraph,Gathering,V0,TF,19,54,0.21246827761226966,0.0,0.1687169506290108,0.11717160785503428,0.1789969902015917
L2,3,paragraph,Gathering,V1,TF,21,54,0.2535781811612899,0.0,0.21625709021935433,0.14858074606502278,0.2224690759434808
L2,3,paragraph,Gathering,V0,RR,19,54,0.17463074797523132,4.3298697960381105e-15,0.12878524993566243,0.08799228737016253,0.14076765083431708
L2,3,paragraph,Gathering,V1,RR,21,54,0.21018476382357784,0.0,0.17070082916878057,0.11821840958626238,0.18414599410610677
L2,3,paragraph,Gathering,V0,SR,19,54,0.16755291376103584,5.440092820663267e-14,0.1213251745570257,0.08248653707710694,0.11335101611941967
L2,3,paragraph,Gathering,V1,SR,21,54,0.1731340703488053,0.0,0.13179766901136447,0.09170769953599976,0.13346685651650342
L2,3,paragraph,Hunting,V0,TF,12,54,0.19765897973445143,7.631801424157203e-08,0.12471888698303793,0.08387861846981344,0.1156062161358458
L2,3,paragraph,Hunting,V1,TF,14,54,0.2250070983224622,1.0125233984581428e-13,0.16539225973188237,0.11416745379009527,0.18352920425454197
L2,3,paragraph,Hunting,V0,RR,12,54,0.18472698684962835,8.684681396253779e-07,0.11061969807917614,0.07723725619192356,0.10777580812550334
L2,3,paragraph,Hunting,V1,RR,14,54,0.1811526897780267,5.2063198197060956e-09,0.11817329934946298,0.0799787638748098,0.14349020896692555
L2,3,paragraph,Hunting,V0,SR,12,54,0.20675253584058614,1.2971386520455042e-08,0.13464905930556767,0.09209488607856614,0.11875174186979054
L2,3,paragraph,Hunting,V1,SR,14,54,0.21351034410333602,1.9354517988290354e-12,0.15302219457223667,0.10413257325509442,0.13562963905013753
L2,3,sentence,Gathering,V0,TF,19,295,0.2875757555508924,0.0,0.2533333767903975,0.172284276150984,0.24132518942568443
L2,3,sentence,Gathering,V1,TF,21,300,0.28166959754062715,0.0,0.2483343345265559,0.1687726961488108,0.2509024794651908
L2,3,sentence,Gathering,V0,RR,19,295,0.18463181030451065,0.0,0.13086004854455793,0.08940618048191978,0.11856051223943186
L2,3,sentence,Gathering,V1,RR,21,300,0.1781957579489065,0.0,0.14047891970477447,0.09651444660839595,0.14201166954081498
L2,3,sentence,Gathering,V0,SR,19,295,0.22562888826328426,0.0,0.1840389493423075,0.1317121417960801,0.19838172664854378
L2,3,sentence,Gathering,V1,SR,21,300,0.237466607779643,0.0,0.20034377348087798,0.1409146321304554,0.1870007638538412
L2,3,sentence,Hunting,V0,TF,12,295,0.25698342274510333,0.0,0.19823171488648322,0.13363968967590917,0.18098904820899112
L2,3,sentence,Hunting,V1,TF,14,300,0.2638369924475341,0.0,0.21215008045026,0.1442815516768661,0.21076855500009892
L2,3,sentence,Hunting,V0,RR,12,295,0.17873470641670208,0.0,0.098274001772549,0.06836153408146049,0.10024031001091273
L2,3,sentence,Hunting,V1,RR,14,300,0.1953284929030201,0.0,0.12485937990963861,0.08706904879638039,0.13158499789519135
L2,3,sentence,Hunting,V0,SR,12,295,0.2502054242066349,0.0,0.18326740985778442,0.128264059236271,0.18378224829808149
L2,3,sentence,Hunting,V1,SR,14,300,0.24349995385436254,0.0,0.18591742168867334,0.1298116035688349,0.17868616140646254
L1_and_L2,1,paragraph,Gathering,V0,TF,60,54,0.21849814708934207,0.0,0.20525235297221223,0.14081180636984922,0.20271291483577333
L1_and_L2,1,paragraph,Gathering,V1,TF,60,54,0.2469177625309701,0.0,0.23415380984082226,0.16034676848386917,0.20731813007313157
L1_and_L2,1,paragraph,Gathering,V0,RR,60,54,0.15146358765855622,0.0,0.13709344543059426,0.09378608224383454,0.13896773217041908
L1_and_L2,1,paragraph,Gathering,V1,RR,60,54,0.16684496961226522,0.0,0.152736499565961,0.10473034959408477,0.14395212463180249
L1_and_L2,1,paragraph,Gathering,V0,SR,60,54,0.1987179128814349,0.0,0.1851592052838762,0.1269110505143603,0.1878387197280594
L1_and_L2,1,paragraph,Gathering,V1,SR,60,54,0.18116251614679288,0.0,0.16730368312341967,0.11480418286477928,0.1644597954771824
