text_id,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
2_8_2,Ele,136.5133284421619,146.0,207.38191950464397,105,12267
2_8_3,Adv,140.63183940242763,150.0,210.7411501329229,105,10710
2_8_3,Ele,123.75701923076923,134.0,200.91679675304403,104,10400
2_8_4,Adv,150.42783251231526,158.0,210.40548920532842,105,12180
2_8_4,Ele,136.42830009496677,149.0,203.77163120567377,104,8424
2_8_5,Adv,136.4684536354057,145.0,203.8501721593704,104,15184
2_8_5,Ele,151.73198653198654,158.0,210.6375534188034,105,10395
2_8_6,Adv,131.19974226804123,142.0,203.87292051756006,104,10088
2_8_6,Ele,140.3805442176871,151.0,206.27688924430228,105,7350
2_9_1,Adv,162.94153701084394,167.0,218.92753072342583,105,10605
2_9_1,Ele,143.52265162721895,154.0,204.17479942128108,104,10816
2_9_2,Adv,154.9935064935065,161.0,216.59709618874774,105,9240
2_9_2,Ele,144.72371794871796,156.0,206.97561422808948,104,7800
2_9_3,Adv,144.6626530612245,153.0,217.06042666122283,105,14700
2_9_3,Ele,132.82230029585799,144.0,204.20838663823739,104,10816
2_9_4,Adv,130.5151189271255,139.0,208.04507411515578,104,15808
2_9_4,Ele,139.65071982281285,151.0,212.7270580296896,105,13545
2_9_5,Adv,157.6095238095238,165.0,216.36901161088886,105,14070
2_9_5,Ele,138.29522490221643,149.0,206.01590191794125,104,12272
2_9_6,Adv,137.4063846153846,148.0,207.8039785946952,104,13000
2_9_6,Ele,154.39655172413794,163.0,212.2037914691943,105,6090
3_10_1,Adv,140.44642363987847,152.0,204.73289049919484,102,7242
3_10_1,Ele,141.5942523829848,152.0,205.5485336637753,99,7029
3_10_2,Adv,139.78294051627384,151.0,207.8201234773903,99,8910
3_10_2,Ele,140.94730392156862,153.0,205.96883954154728,102,8160
3_10_3,Adv,139.90313131313133,150.0,205.92343146000596,99,9900
3_10_3,Ele,135.25944524151123,148.0,203.29020664869722,102,8364
3_10_4,Adv,142.75863108698928,152.0,210.77751808569838,99,13266
3_10_4,Ele,133.120581079147,145.0,204.96110621419126,102,13974
3_10_5,Adv,127.23490712074303,139.0,202.92665363645716,102,15504
3_10_5,Ele,131.2654153475049,141.0,207.35496546796855,99,13266
3_10_6,Adv,129.8170703575548,142.0,205.23595915390226,102,8670
3_10_6,Ele,128.1005291005291,138.0,204.94113120430936,99,8316
3_1_1,Adv,141.2725249609046,152.0,210.93821284238885,102,16626
3_1_1,Ele,142.66111496645848,151.0,212.24870941837787,99,12969
3_1_2,Adv,153.16718954248367,162.0,212.46219401631913,102,7650
3_1_2,Ele,157.68466483011937,163.0,212.1030138339921,99,5445
3_1_3,Adv,142.33349995834374,151.0,209.98389872173058,99,12003
3_1_3,Ele,128.27241494888554,142.0,204.32501334757075,102,11934
3_1_4,Adv,148.76245902735968,156.0,212.76789131266744,99,14949
3_1_4,Ele,144.56579160589857,155.0,206.0312933025404,102,12342
3_1_5,Adv,149.24051324051325,156.0,212.3188659093116,99,14652
3_1_5,Ele,143.33333333333334,154.0,205.58561765752938,102,8058
3_2_1,Adv,145.90098039215687,156.0,209.70267731329264,102,12240
3_2_1,Ele,141.07830441163773,150.0,206.6139840687824,99,11583
3_2_2,Adv,162.501443001443,166.0,219.90529193516892,99,6930
3_2_2,Ele,153.28832442067736,163.0,209.9139544344996,102,6732
3_2_3,Adv,149.74284905126027,158.0,213.54684975767367,99,10593
3_2_3,Ele,145.5325226244344,155.0,207.13927277606334,102,10608
3_2_4,Adv,148.5164488925957,155.0,209.35871979098627,99,10791
3_2_4,Ele,141.53474205216068,152.0,203.49856302175996,102,10506
3_2_5,Adv,137.46559378468368,147.0,209.31527556098018,102,16218
3_2_5,Ele,141.17732065177321,150.0,210.25452948281543,99,13563
3_3_1,Adv,149.59224898012897,157.0,213.05435291912661,102,15198
3_3_1,Ele,145.32778489116518,152.0,210.03577670401975,99,14058
3_3_2,Adv,146.14719405003382,155.0,210.0395491205908,102,14790
3_3_2,Ele,147.41296296296295,156.0,213.69932885906042,99,11880
3_3_3,Adv,138.9425172780436,147.0,212.48038617886178,99,15048
3_3_3,Ele,137.2007014187789,148.0,209.50827653359298,102,12546
3_3_4,Adv,142.56461417435457,151.0,212.23049079101457,99,13983
3_3_4,Ele,132.25857843137254,143.0,208.9759167372625,102,13056
3_3_5,Adv,141.38058278867103,150.0,211.50926869016092,102,14688
3_3_5,Ele,138.3006442376521,145.0,210.28588704801064,99,12573
