text_id,align_idx,level,mean_TF,median_TF,mean_nonzero_TF,n_subjects,n_rows
1_2_3,74,Adv,140.95822890559734,0.0,291.4110535405872,114,2394
1_2_4,75,Adv,303.37595690388434,211.0,410.9089861751152,114,3527
1_2_4,75,Ele,351.7399414776884,233.0,467.9596107055961,114,2734
1_2_4,76,Adv,242.95706675023504,188.0,362.1092947220925,114,3191
1_2_4,76,Ele,224.40564263322884,168.0,347.67071393880525,114,3190
1_2_4,77,Adv,218.665350877193,183.0,328.86345646437996,114,2280
1_2_4,77,Ele,185.9103313840156,160.0,296.646967340591,114,1026
1_2_4,78,Adv,238.50986842105263,187.0,349.7122186495177,114,912
1_2_4,78,Ele,232.48927875243666,163.0,369.24767801857587,114,1026
1_2_4,79,Adv,226.91395961369622,177.0,347.38575268817203,114,1139
1_2_4,79,Ele,172.1827485380117,151.0,292.2406947890819,114,684
1_2_4,80,Adv,196.97368421052633,164.0,295.4605263157895,114,798
1_2_4,80,Ele,202.12719298245614,157.0,320.03472222222223,114,684
1_2_4,81,Adv,185.10616284300494,141.0,320.9758190327613,114,4446
1_2_4,81,Ele,181.80984885421745,123.0,323.41023417172596,114,2051
1_2_5,82,Adv,345.7961876832845,232.0,435.6520935960591,114,2046
1_2_5,82,Ele,313.46998535871154,221.0,406.00505689001267,114,2049
1_2_5,83,Adv,308.56112576956906,220.5,420.91661667666466,114,2274
1_2_5,83,Ele,310.16220735785953,218.0,425.65002868617324,114,2392
1_2_5,84,Adv,253.02561287961947,187.0,367.63370547581076,114,2733
1_2_5,84,Ele,221.29515011547343,167.0,335.74211632796073,114,2165
1_2_5,85,Adv,214.53071253071252,173.0,328.2481203007519,114,2849
1_2_5,85,Ele,184.48736842105262,157.5,294.0654362416107,114,2850
1_2_5,86,Adv,183.46365914786966,153.5,304.532501300052,114,3192
1_2_6,87,Adv,344.1967812728603,233.0,455.3390322580645,114,4101
1_2_6,87,Ele,287.9973684210526,214.0,379.557225433526,114,2280
1_2_6,88,Adv,309.9239646978954,206.0,454.2467661691542,114,1473
1_2_6,88,Ele,261.5744248985115,200.5,370.6682646212848,114,1478
1_2_6,89,Adv,298.45939334637967,196.5,447.2514662756598,114,2044
1_2_6,89,Ele,179.12706212706212,142.0,311.7489309712889,114,2849
1_3_1,90,Adv,258.4626062322946,180.0,378.26409618573797,114,3530
1_3_1,90,Ele,212.1445856019359,168.0,319.5216400911162,114,3306
1_3_1,91,Adv,368.8489010989011,264.5,484.34704184704185,114,1820
1_3_1,91,Ele,319.21567398119123,229.0,413.2702922077922,114,1595
1_3_1,92,Adv,273.137376879212,199.0,394.372754491018,114,1929
1_3_1,92,Ele,194.69625379682753,157.0,315.23770491803276,114,2963
1_3_1,93,Adv,183.85242518059854,124.0,333.6198501872659,114,1938
1_3_1,93,Ele,155.22136222910217,117.0,280.0921787709497,114,1938
1_3_2,94,Adv,286.17595459236327,203.0,390.5697183098591,114,1938
1_3_2,94,Ele,274.5250626566416,199.0,382.65676855895197,114,1596
1_3_2,95,Adv,326.725,244.0,423.9800796812749,114,2280
1_3_2,95,Ele,298.3691605198455,201.0,430.5408008109478,114,2847
1_3_2,96,Adv,305.8125249301955,217.0,430.9567172568859,114,2507
1_3_2,96,Ele,275.6938596491228,207.0,366.73395565927655,114,1140
1_3_2,97,Adv,275.59173126614985,202.0,394.1389504804139,114,1935
1_3_2,97,Ele,285.80944535969246,206.0,399.43131235610133,114,1821
1_3_3,98,Adv,302.9044421487603,207.0,415.0198159943383,114,1936
1_3_3,98,Ele,300.8742304309587,215.0,396.86078886310906,114,2274
1_3_3,99,Adv,310.48538011695905,191.0,424.744,114,342
1_3_3,99,Ele,306.56140350877195,224.0,422.758064516129,114,342
1_3_3,100,Adv,289.67118914604947,221.0,405.5396648044693,114,1253
1_3_3,100,Ele,207.08839406207827,173.0,324.76719576719574,114,1482
1_3_3,101,Adv,218.36480908152734,166.0,340.45937248592116,114,1938
1_3_3,101,Ele,217.1688596491228,175.5,336.8333333333333,114,456
1_3_3,102,Adv,331.995867768595,215.5,443.5776397515528,114,1936
1_3_3,102,Ele,171.05526315789473,156.0,280.9841498559078,114,1140
1_3_3,103,Adv,311.6293859649123,204.0,459.8802588996764,114,456
1_3_3,103,Ele,167.30701754385964,131.0,277.7621359223301,114,684
1_3_3,104,Adv,219.7516031049612,168.0,345.2407211028632,114,2963
1_3_3,104,Ele,188.3992197659298,146.0,317.0218818380744,114,3076
1_3_3,105,Adv,243.47246608140463,166.0,377.56311881188117,114,1253
1_3_3,105,Ele,208.5771762984638,133.0,372.7124183006536,114,1367
1_3_4,106,Adv,256.1520825372564,190.0,365.3133514986376,114,2617
1_3_4,106,Ele,242.02005012531328,186.0,342.4326241134752,114,798
1_3_4,107,Adv,296.7438148443735,209.0,406.3606557377049,114,1253
1_3_4,107,Ele,235.02950408035153,171.0,357.2538167938931,114,1593
1_3_4,108,Adv,262.767578125,188.0,381.1246458923513,114,2048
1_3_4,108,Ele,267.00878477306003,180.0,399.6355003652301,114,2049
1_3_4,109,Adv,227.39066111881647,171.0,357.9665211062591,114,2163
1_3_4,110,Adv,233.70971786833857,170.0,372.6427857380873,114,4785
1_3_4,110,Ele,221.14082035534108,164.0,348.8515570934256,114,4559
1_3_5,111,Adv,294.25921052631577,221.0,392.3456140350877,114,2280
1_3_5,112,Adv,290.49215317011925,198.0,415.39856373429086,114,3186
1_3_5,112,Ele,287.7772277227723,196.5,408.0959438377535,114,1818
1_3_5,113,Adv,330.1116687578419,237.0,439.23038397328884,114,1594
